172.23.0.1 - - [13/Jun/2024:13:17:37 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:17:37 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:17:43 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:17:43 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:17:49 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:17:49 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:17:55 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:17:55 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:01 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:01 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:07 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:07 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
127.0.0.1 - - [13/Jun/2024:13:18:08 +0000] "GET /help HTTP/1.1" 502 3216 "" "curl/8.6.0-DEV" -
172.23.0.1 - - [13/Jun/2024:13:18:13 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:13 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:19 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:19 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:25 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:25 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:31 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:31 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:37 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:37 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:43 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:43 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:49 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:49 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:55 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:18:55 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:19:01 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:19:01 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:19:07 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:19:07 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:19:16 +0000] "GET / HTTP/1.1" 302 112 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
127.0.0.1 - - [13/Jun/2024:13:19:19 +0000] "GET /help HTTP/1.1" 499 0 "" "curl/8.6.0-DEV" -
172.23.0.1 - - [13/Jun/2024:13:19:21 +0000] "GET /users/sign_in HTTP/1.1" 200 4533 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" 2.44
172.23.0.1 - - [13/Jun/2024:13:19:21 +0000] "GET /assets/page_bundles/login-d3d6bc53e95a451be9ab770d7a515d686002ad44c6493bfac5caab63ebe9db94.css HTTP/1.1" 200 402 "http://localhost:8080/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:19:21 +0000] "GET /assets/application-f26176d736b2c98959127f2c53a94ba4c3c060368eb6797ad06dd923012b53bd.css HTTP/1.1" 200 104048 "http://localhost:8080/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:19:21 +0000] "GET /assets/page_bundles/commit_description-b1dab9b10010cbb9c3738689b18ce46a4f58b98a8d483226fdff8a776a45caf0.css HTTP/1.1" 200 300 "http://localhost:8080/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:19:21 +0000] "GET /assets/tailwind-5625244852d0586fd52cd087102cfbcb83f9b1daf79f07b763a6a9091da77fda.css HTTP/1.1" 200 9878 "http://localhost:8080/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:19:21 +0000] "GET /assets/highlight/themes/white-e08c45a78f4446ec6c4226adb581d4482911bd7c85b47b7e7c003112b0c26274.css HTTP/1.1" 200 1964 "http://localhost:8080/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:19:21 +0000] "GET /assets/application_utilities-4ce46b0d1744a75b5e0b7104e935413dc41b09b34002dc2832a687dd8e7f0569.css HTTP/1.1" 200 968 "http://localhost:8080/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:19:21 +0000] "GET /assets/fonts-fae5d3f79948bd85f18b6513a025f863b19636e85b09a1492907eb4b1bb0557b.css HTTP/1.1" 200 399 "http://localhost:8080/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:19:21 +0000] "GET /assets/webpack/runtime.bad33c1a.bundle.js HTTP/1.1" 200 7438 "http://localhost:8080/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
